Cell.line	Small.Molecule.Name	CONC	CONC.units	Replicate	Time	Time.units	Cell_Count_0	Viable.cells	Control	Relative_cell_count	Normalized_GR
MCF7	Alvocidib	0.04	uM	1	72	hr	1235	1106	3974	0.2783	-0.0635
MCF7	Alvocidib	0.04	uM	2	72	hr	1235	1183	4070	0.2906	-0.0249
MCF7	Alvocidib	0.04	uM	3	72	hr	1235	1089	4126	0.2639	-0.0699
MCF7	Alvocidib	0.04	uM	4	72	hr	1389	1324	5147	0.2572	-0.0251
MCF7	Alvocidib	0.04	uM	5	72	hr	1389	1933	5447	0.3548	0.1825
MCF7	Alvocidib	0.04	uM	6	72	hr	1389	1636	5740	0.285	0.0832
MCF7	Alvocidib	0.04	uM	7	72	hr	1209	702	3823	0.1836	-0.2794
MCF7	Alvocidib	0.04	uM	8	72	hr	1209	638	4093	0.1558	-0.3049
MCF7	Alvocidib	0.04	uM	9	72	hr	1209	681	4121	0.1652	-0.2773
MCF7	Alvocidib	0.12	uM	1	72	hr	1235	722	3974	0.1817	-0.2729
MCF7	Alvocidib	0.12	uM	2	72	hr	1235	631	4070	0.155	-0.3233
MCF7	Alvocidib	0.12	uM	3	72	hr	1235	675	4126	0.1636	-0.2935
MCF7	Alvocidib	0.12	uM	4	72	hr	1389	446	5147	0.0867	-0.4519
MCF7	Alvocidib	0.12	uM	5	72	hr	1389	692	5447	0.127	-0.2977
MCF7	Alvocidib	0.12	uM	6	72	hr	1389	559	5740	0.0974	-0.359
MCF7	Alvocidib	0.12	uM	7	72	hr	1209	586	3823	0.1533	-0.3537
MCF7	Alvocidib	0.12	uM	8	72	hr	1209	609	4093	0.1488	-0.323
MCF7	Alvocidib	0.12	uM	9	72	hr	1209	679	4121	0.1648	-0.2785
MCF7	Alvocidib	0.37	uM	1	72	hr	1235	677	3974	0.1704	-0.3001
MCF7	Alvocidib	0.37	uM	2	72	hr	1235	712	4070	0.1749	-0.2741
MCF7	Alvocidib	0.37	uM	3	72	hr	1235	694	4126	0.1682	-0.2821
MCF7	Alvocidib	0.37	uM	4	72	hr	1389	441	5147	0.0857	-0.4551
MCF7	Alvocidib	0.37	uM	5	72	hr	1389	474	5447	0.087	-0.4204
MCF7	Alvocidib	0.37	uM	6	72	hr	1389	552	5740	0.0962	-0.3629
MCF7	Alvocidib	0.37	uM	7	72	hr	1209	595	3823	0.1556	-0.3478
MCF7	Alvocidib	0.37	uM	8	72	hr	1209	658	4093	0.1607	-0.2926
MCF7	Alvocidib	0.37	uM	9	72	hr	1209	677	4121	0.1643	-0.2797
MCF7	Alvocidib	1.11	uM	1	72	hr	1235	609	3974	0.1532	-0.3427
MCF7	Alvocidib	1.11	uM	2	72	hr	1235	521	4070	0.128	-0.3946
MCF7	Alvocidib	1.11	uM	3	72	hr	1235	589	4126	0.1427	-0.3467
MCF7	Alvocidib	1.11	uM	4	72	hr	1389	391	5147	0.076	-0.4887
MCF7	Alvocidib	1.11	uM	5	72	hr	1389	518	5447	0.0951	-0.3937
MCF7	Alvocidib	1.11	uM	6	72	hr	1389	550	5740	0.0958	-0.364
MCF7	Alvocidib	1.11	uM	7	72	hr	1209	672	3823	0.1758	-0.2981
MCF7	Alvocidib	1.11	uM	8	72	hr	1209	674	4093	0.1646	-0.2828
MCF7	Alvocidib	1.11	uM	9	72	hr	1209	610	4121	0.148	-0.321
MCF7	Alvocidib	3.33	uM	1	72	hr	1235	563	3974	0.1417	-0.3726
MCF7	Alvocidib	3.33	uM	2	72	hr	1235	559	4070	0.1373	-0.3693
MCF7	Alvocidib	3.33	uM	3	72	hr	1235	505	4126	0.1224	-0.402
MCF7	Alvocidib	3.33	uM	4	72	hr	1389	433	5147	0.0841	-0.4604
MCF7	Alvocidib	3.33	uM	5	72	hr	1389	486	5447	0.0892	-0.413
MCF7	Alvocidib	3.33	uM	6	72	hr	1389	485	5740	0.0845	-0.4019
MCF7	Alvocidib	3.33	uM	7	72	hr	1209	688	3823	0.18	-0.2881
MCF7	Alvocidib	3.33	uM	8	72	hr	1209	742	4093	0.1813	-0.2426
MCF7	Alvocidib	3.33	uM	9	72	hr	1209	652	4121	0.1582	-0.2949
MCF7	Alvocidib	10	uM	1	72	hr	1235	329	3974	0.0828	-0.5438
MCF7	Alvocidib	10	uM	2	72	hr	1235	578	4070	0.142	-0.357
MCF7	Alvocidib	10	uM	3	72	hr	1235	630	4126	0.1527	-0.3209
MCF7	Alvocidib	10	uM	4	72	hr	1389	479	5147	0.0931	-0.4308
MCF7	Alvocidib	10	uM	5	72	hr	1389	458	5447	0.0841	-0.4304
MCF7	Alvocidib	10	uM	6	72	hr	1389	590	5740	0.1028	-0.3418
MCF7	Alvocidib	10	uM	7	72	hr	1209	763	3823	0.1996	-0.2423
MCF7	Alvocidib	10	uM	8	72	hr	1209	620	4093	0.1515	-0.3161
MCF7	Alvocidib	10	uM	9	72	hr	1209	655	4121	0.1589	-0.2931
BT-20	Alvocidib	0.04	uM	1	72	hr	1657	2747	5244	0.5238	0.3552
BT-20	Alvocidib	0.04	uM	2	72	hr	1657	2746	5360	0.5123	0.3473
BT-20	Alvocidib	0.04	uM	3	72	hr	1657	2903	5546	0.5234	0.3793
BT-20	Alvocidib	0.04	uM	4	72	hr	1334	2422	3955	0.6123	0.4625
BT-20	Alvocidib	0.04	uM	5	72	hr	1334	3088	3899	0.792	0.72
BT-20	Alvocidib	0.04	uM	6	72	hr	1334	3014	3921	0.7686	0.6886
BT-20	Alvocidib	0.04	uM	7	72	hr	1097	1142	3610	0.3163	0.0235
BT-20	Alvocidib	0.04	uM	8	72	hr	1097	1104	3713	0.2973	0.0035
BT-20	Alvocidib	0.04	uM	9	72	hr	1097	981	3696	0.2654	-0.0619
BT-20	Alvocidib	0.12	uM	1	72	hr	1657	1383	5244	0.2637	-0.1033
BT-20	Alvocidib	0.12	uM	2	72	hr	1657	1442	5360	0.269	-0.0791
BT-20	Alvocidib	0.12	uM	3	72	hr	1657	1365	5546	0.2461	-0.1055
