Cell.line;Time;Apoptotic.cells;Apoptotic.fraction;Replicate;CONC;Type;Type2
PC-9;0;0.005081416;9.25;1;.;0;sensitive
PC-9;0;0.005056078;8.99;2;.;0;sensitive
PC-9;0;0.004380148;7.71;3;.;0;sensitive
PC-9;0;0.003283108;5.52;1;.;1;resistant
PC-9;0;0.003299757;6.38;2;.;1;resistant
PC-9;0;0.003614286;6.51;3;.;1;resistant
PC-9;48;0.030474862;10.42;1;0;0;sensitive
PC-9;48;0.02750485;9.1;2;0;0;sensitive
PC-9;48;0.022108221;9.66;3;0;0;sensitive
PC-9;48;0.021868351;14.77;1;1;0;sensitive
PC-9;48;0.01987907;13.64;2;1;0;sensitive
PC-9;48;0.023049764;14.67;3;1;0;sensitive
PC-9;48;0.028041947;16.92;1;3;0;sensitive
PC-9;48;0.021407453;15.21;2;3;0;sensitive
PC-9;48;0.019887021;14.95;3;3;0;sensitive
PC-9;48;0.023875304;21;1;10;0;sensitive
PC-9;48;0.026684104;21.31;2;10;0;sensitive
PC-9;48;0.040356442;25.6;3;10;0;sensitive
PC-9;48;0.036507527;29.68;1;20;0;sensitive
PC-9;48;0.028191379;24.34;2;20;0;sensitive
PC-9;48;0.029580797;25.09;3;20;0;sensitive
PC-9;48;0.018218004;7.74;1;0;1;resistant
PC-9;48;0.017883973;6.16;2;0;1;resistant
PC-9;48;0.018666463;7.93;3;0;1;resistant
PC-9;48;0.022832181;9.07;1;1;1;resistant
PC-9;48;0.022028519;7.75;2;1;1;resistant
PC-9;48;0.023831528;8.26;3;1;1;resistant
PC-9;48;0.030510778;10.2;1;3;1;resistant
PC-9;48;0.026532139;8.44;2;3;1;resistant
PC-9;48;0.022283387;8.13;3;3;1;resistant
PC-9;48;0.023519138;13.77;1;10;1;resistant
PC-9;48;0.024720292;13.42;2;10;1;resistant
PC-9;48;0.017950948;13.92;3;10;1;resistant
PC-9;48;0.018831661;19.86;1;20;1;resistant
PC-9;48;0.021952288;19.52;2;20;1;resistant
PC-9;48;0.019062852;16.78;3;20;1;resistant
PC-9;60;0.037432478;8.92;1;0;0;sensitive
PC-9;60;0.042818254;8.89;2;0;0;sensitive
PC-9;60;0.060093582;10.02;3;0;0;sensitive
PC-9;60;0.024102802;18.49;1;1;0;sensitive
PC-9;60;0.024206159;17.65;2;1;0;sensitive
PC-9;60;0.030540653;22.14;3;1;0;sensitive
PC-9;60;0.028322364;21.18;1;3;0;sensitive
PC-9;60;0.028134393;18.27;2;3;0;sensitive
PC-9;60;0.036727236;25.1;3;3;0;sensitive
PC-9;60;0.037218061;26.75;1;10;0;sensitive
PC-9;60;0.032562924;25.67;2;10;0;sensitive
PC-9;60;0.038058595;26.41;3;10;0;sensitive
PC-9;60;0.040923652;32.31;1;20;0;sensitive
PC-9;60;0.047155304;32.63;2;20;0;sensitive
PC-9;60;0.049262197;32.13;3;20;0;sensitive
PC-9;60;0.027326053;6.33;1;0;1;resistant
PC-9;60;0.025902165;5.69;2;0;1;resistant
PC-9;60;0.036004807;7.94;3;0;1;resistant
PC-9;60;0.024058478;5.67;1;1;1;resistant
PC-9;60;0.023602351;5.25;2;1;1;resistant
PC-9;60;0.021678606;5.14;3;1;1;resistant
PC-9;60;0.023827137;5.69;1;3;1;resistant
PC-9;60;0.018700405;4.8;2;3;1;resistant
PC-9;60;0.025416032;6.02;3;3;1;resistant
PC-9;60;0.025593087;13.86;1;10;1;resistant
PC-9;60;0.025379908;14.73;2;10;1;resistant
PC-9;60;0.022813719;12.4;3;10;1;resistant
PC-9;60;0.01886942;17.35;1;20;1;resistant
PC-9;60;0.022636799;19.42;2;20;1;resistant
PC-9;60;0.020986468;20.43;3;20;1;resistant
PC-9;72;0.038692188;5.95;1;0;0;sensitive
PC-9;72;0.055297747;7.64;2;0;0;sensitive
PC-9;72;0.053655704;7.41;3;0;0;sensitive
PC-9;72;0.0323002;21;1;1;0;sensitive
PC-9;72;0.024701701;16.17;2;1;0;sensitive
PC-9;72;0.033404611;20.8;3;1;0;sensitive
PC-9;72;0.024451823;18.56;1;3;0;sensitive
PC-9;72;0.039520526;21.03;2;3;0;sensitive
PC-9;72;0.029043398;17.7;3;3;0;sensitive
PC-9;72;0.035238757;24.32;1;10;0;sensitive
PC-9;72;0.031977878;22.77;2;10;0;sensitive
PC-9;72;0.034026004;22.46;3;10;0;sensitive
PC-9;72;0.036310469;26.44;1;20;0;sensitive
PC-9;72;0.035007441;29.23;2;20;0;sensitive
PC-9;72;0.02651257;24.83;3;20;0;sensitive
PC-9;72;0.02797925;6.59;1;0;1;resistant
PC-9;72;0.029382607;6.75;2;0;1;resistant
PC-9;72;0.037436446;7.02;3;0;1;resistant
PC-9;72;0.035742708;6.8;1;1;1;resistant
PC-9;72;0.041338836;6.64;2;1;1;resistant
PC-9;72;0.034069012;6.2;3;1;1;resistant
PC-9;72;0.035376182;6.6;1;3;1;resistant
PC-9;72;0.031477202;5.94;2;3;1;resistant
PC-9;72;0.036905938;6.76;3;3;1;resistant
PC-9;72;0.027441729;15.09;1;10;1;resistant
PC-9;72;0.019697984;9;2;10;1;resistant
PC-9;72;0.026898811;10.15;3;10;1;resistant
PC-9;72;0.019255241;19.28;1;20;1;resistant
PC-9;72;0.022533481;18.64;2;20;1;resistant
PC-9;72;0.020094782;14;3;20;1;resistant
