Sample ID;Cell.line;Viable.cells;Time;Replicate;CONC;Type;Type2
pc-9 par day0-1;PC-9;0.062;0;1;.;0;sensitive
pc-9 par day0-2;PC-9;0.066;0;2;.;0;sensitive
pc-9 par day0-3;PC-9;0.065;0;3;.;0;sensitive
pc-9 ER day0-1;PC-9;0.071;0;1;.;1;resistant
pc-9 ER day0-2;PC-9;0.062;0;2;.;1;resistant
pc-9 ER day0-3;PC-9;0.069;0;3;.;1;resistant
pc-9 par dmso 48hrs-1;PC-9;0.38;48;1;0;0;sensitive
pc-9 par dmso 48hrs-2;PC-9;0.39;48;2;0;0;sensitive
pc-9 par dmso 48hrs-3;PC-9;0.33;48;3;0;0;sensitive
pc-9 par E1 48hrs-1;PC-9;0.29;48;1;1;0;sensitive
pc-9 par E1 48hrs-2;PC-9;0.29;48;2;1;0;sensitive
pc-9 par E1 48hrs-3;PC-9;0.31;48;3;1;0;sensitive
pc-9 par E3 48hrs-1;PC-9;0.27;48;1;3;0;sensitive
pc-9 par E3 48hrs-2;PC-9;0.24;48;2;3;0;sensitive
pc-9 par E3 48hrs-3;PC-9;0.25;48;3;3;0;sensitive
pc-9 par E10 48hrs-1;PC-9;0.19;48;1;10;0;sensitive
pc-9 par E10 48hrs-2;PC-9;0.19;48;2;10;0;sensitive
pc-9 par E10 48hrs-3;PC-9;0.21;48;3;10;0;sensitive
pc-9 par E20 48hrs-1;PC-9;0.15;48;1;20;0;sensitive
pc-9 par E20 48hrs-2;PC-9;0.16;48;2;20;0;sensitive
pc-9 par E20 48hrs-3;PC-9;0.16;48;3;20;0;sensitive
pc-9 dmso 48hrs-1;PC-9;0.3;48;1;0;1;resistant
pc-9 dmso 48hrs-2;PC-9;0.36;48;2;0;1;resistant
pc-9 dmso 48hrs-3;PC-9;0.32;48;3;0;1;resistant
pc-9 ER E1 48hrs-1;PC-9;0.28;48;1;1;1;resistant
pc-9 ER E1 48hrs-2;PC-9;0.32;48;2;1;1;resistant
pc-9 ER E1 48hrs-3;PC-9;0.31;48;3;1;1;resistant
pc-9 ER E3 48hrs-1;PC-9;0.36;48;1;3;1;resistant
pc-9 ER E3 48hrs-2;PC-9;0.31;48;2;3;1;resistant
pc-9 ER E3 48hrs-3;PC-9;0.28;48;3;3;1;resistant
pc-9 ER E10 48hrs-1;PC-9;0.24;48;1;10;1;resistant
pc-9 ER E10 48hrs-2;PC-9;0.25;48;2;10;1;resistant
pc-9 ER E10 48hrs-3;PC-9;0.19;48;3;10;1;resistant
pc-9 ER E20 48hrs-1;PC-9;0.18;48;1;20;1;resistant
pc-9 ER E20 48hrs-2;PC-9;0.19;48;2;20;1;resistant
pc-9 ER E20 48hrs-3;PC-9;0.16;48;3;20;1;resistant
pc-9 par dmso 60hrs-1;PC-9;0.66;60;1;0;0;sensitive
pc-9 par dmso 60hrs-2;PC-9;0.64;60;2;0;0;sensitive
pc-9 par dmso 60hrs-3;PC-9;0.62;60;3;0;0;sensitive
pc-9 par E1 60hrs-1;PC-9;0.28;60;1;1;0;sensitive
pc-9 par E1 60hrs-2;PC-9;0.29;60;2;1;0;sensitive
pc-9 par E1 60hrs-3;PC-9;0.29;60;3;1;0;sensitive
pc-9 par E3 60hrs-1;PC-9;0.23;60;1;3;0;sensitive
pc-9 par E3 60hrs-2;PC-9;0.27;60;2;3;0;sensitive
pc-9 par E3 60hrs-3;PC-9;0.22;60;3;3;0;sensitive
pc-9 par E10 60hrs-1;PC-9;0.18;60;1;10;0;sensitive
pc-9 par E10 60hrs-2;PC-9;0.15;60;2;10;0;sensitive
pc-9 par E10 60hrs-3;PC-9;0.19;60;3;10;0;sensitive
pc-9 par E20 60hrs-1;PC-9;0.13;60;1;20;0;sensitive
pc-9 par E20 60hrs-2;PC-9;0.14;60;2;20;0;sensitive
pc-9 par E20 60hrs-3;PC-9;0.16;60;3;20;0;sensitive
pc-9 ER dmso 60hrs-1;PC-9;0.51;60;1;0;1;resistant
pc-9 ER dmso 60hrs-2;PC-9;0.52;60;2;0;1;resistant
pc-9 ER dmso 60hrs-3;PC-9;0.49;60;3;0;1;resistant
pc-9 ER E1 60hrs-1;PC-9;0.47;60;1;1;1;resistant
pc-9 ER E1 60hrs-2;PC-9;0.49;60;2;1;1;resistant
pc-9 ER E1 60hrs-3;PC-9;0.47;60;3;1;1;resistant
pc-9 ER E3 60hrs-1;PC-9;0.45;60;1;3;1;resistant
pc-9 ER E3 60hrs-2;PC-9;0.47;60;2;3;1;resistant
pc-9 ER E3 60hrs-3;PC-9;0.51;60;3;3;1;resistant
pc-9 ER E10 60hrs-1;PC-9;0.33;60;1;10;1;resistant
pc-9 ER E10 60hrs-2;PC-9;0.34;60;2;10;1;resistant
pc-9 ER E10 60hrs-3;PC-9;0.37;60;3;10;1;resistant
pc-9 ER E20 60hrs-1;PC-9;0.24;60;1;20;1;resistant
pc-9 ER E20 60hrs-2;PC-9;0.25;60;2;20;1;resistant
pc-9 ER E20 60hrs-3;PC-9;0.25;60;3;20;1;resistant
pc-9 par dmso 72hrs-1;PC-9;0.7;72;1;0;0;sensitive
pc-9 par dmso 72hrs-2;PC-9;0.74;72;2;0;0;sensitive
pc-9 par dmso 72hrs-3;PC-9;0.72;72;3;0;0;sensitive
pc-9 par E1 72hrs-1;PC-9;0.29;72;1;1;0;sensitive
pc-9 par E1 72hrs-2;PC-9;0.28;72;2;1;0;sensitive
pc-9 par E1 72hrs-3;PC-9;0.26;72;3;1;0;sensitive
pc-9 par E3 72hrs-1;PC-9;0.19;72;1;3;0;sensitive
pc-9 par E3 72hrs-2;PC-9;0.25;72;2;3;0;sensitive
pc-9 par E3 72hrs-3;PC-9;0.22;72;3;3;0;sensitive
pc-9 par E10 72hrs-1;PC-9;0.17;72;1;10;0;sensitive
pc-9 par E10 72hrs-2;PC-9;0.15;72;2;10;0;sensitive
pc-9 par E10 72hrs-3;PC-9;0.16;72;3;10;0;sensitive
pc-9 par E20 72hrs-1;PC-9;0.14;72;1;20;0;sensitive
pc-9 par E20 72hrs-2;PC-9;0.14;72;2;20;0;sensitive
pc-9 par E20 72hrs-3;PC-9;0.12;72;3;20;0;sensitive
pc-9 ER dmso 72hrs-1;PC-9;0.58;72;1;0;1;resistant
pc-9 ER dmso 72hrs-2;PC-9;0.59;72;2;0;1;resistant
pc-9 ER dmso 72hrs-3;PC-9;0.61;72;3;0;1;resistant
pc-9 ER E1 72hrs-1;PC-9;0.52;72;1;1;1;resistant
pc-9 ER E1 72hrs-2;PC-9;0.6;72;2;1;1;resistant
pc-9 ER E1 72hrs-3;PC-9;0.59;72;3;1;1;resistant
pc-9 ER E3 72hrs-1;PC-9;0.53;72;1;3;1;resistant
pc-9 ER E3 72hrs-2;PC-9;0.56;72;2;3;1;resistant
pc-9 ER E3 72hrs-3;PC-9;0.58;72;3;3;1;resistant
pc-9 ER E10 72hrs-1;PC-9;0.34;72;1;10;1;resistant
pc-9 ER E10 72hrs-2;PC-9;0.39;72;2;10;1;resistant
pc-9 ER E10 72hrs-3;PC-9;0.43;72;3;10;1;resistant
pc-9 ER E20 72hrs-1;PC-9;0.25;72;1;20;1;resistant
pc-9 ER E20 72hrs-2;PC-9;0.26;72;2;20;1;resistant
pc-9 ER E20 72hrs-3;PC-9;0.28;72;3;20;1;resistant
